Associated Gene Name	Ensembl Gene ID	CD4 naive	CD4 tcr	CD4 Th1	CD8 tcr	CD8 naive
Gnai3	ENSMUSG00000000001	66573	225926	283511	266491	92896
Narf	ENSMUSG00000000056	236	4133	781	356	182
Scmh1	ENSMUSG00000000085	185	1460	652	4859	106
Cox5a	ENSMUSG00000000088	3177	60978	371497	342081	152617
Xpo6	ENSMUSG00000000131	7786	14443	18469	38306	5110
Brat1	ENSMUSG00000000148	11331	2799	13587	18100	4558
Dlat	ENSMUSG00000000168	40663	76086	55476	173778	49858
Ccnd2	ENSMUSG00000000184	1118	6455	22825	2681	1092
Gpr107	ENSMUSG00000000194	966	1814	2760	2125	1523
Trim25	ENSMUSG00000000275	9331	27863	39365	170333	15994
Dgke	ENSMUSG00000000276	684	1193	3537	1445	602
Mnt	ENSMUSG00000000282	149	3695	1806	9190	1398
Itgb2	ENSMUSG00000000290	126306	246793	1132401	448363	183186
Hddc2	ENSMUSG00000000295	2248	9844	89583	189299	25574
Comt	ENSMUSG00000000326	9378	19362	118234	139730	16443
Rtca	ENSMUSG00000000339	141388	83735	138354	127962	103516
Dbt	ENSMUSG00000000340	24651	12183	20652	32684	22980
Mcts1	ENSMUSG00000000355	46648	48300	64484	78679	81081
Trappc10	ENSMUSG00000000374	2725	2892	10154	7804	4219
Ccm2	ENSMUSG00000000378	52521	28184	40637	37416	46734
Tbrg4	ENSMUSG00000000384	15074	41740	52802	105696	13210
Ndufa9	ENSMUSG00000000399	125258	69346	126795	266014	85621
Lck	ENSMUSG00000000409	197235	146254	433834	324147	243847
Galnt1	ENSMUSG00000000420	5868	7447	44443	16926	8367
Mkrn2	ENSMUSG00000000439	5844	8434	12604	26599	6383
Raf1	ENSMUSG00000000441	2089	7379	19016	20195	3013
Tom1l2	ENSMUSG00000000538	72	899	4248	2233	1277
Wdr77	ENSMUSG00000000561	22183	136737	130657	335637	38084
Atp5f1	ENSMUSG00000000563	449447	643929	510814	860247	360154
Hnrnpd	ENSMUSG00000000568	534875	1313343	611759	674447	907852
Krit1	ENSMUSG00000000600	12753	5014	18098	24593	8454
Clcn4-2	ENSMUSG00000000605	466	1499	1475	1097	125
Hk2	ENSMUSG00000000628	380	402587	409097	776757	756
Myo18a	ENSMUSG00000000631	10595	28373	68503	20950	20996
Haao	ENSMUSG00000000673	508	1080	3837	25268	36881
Kat2b	ENSMUSG00000000708	764	601	1032	753	41
Rab5b	ENSMUSG00000000711	17243	37607	60972	43226	25399
Spg7	ENSMUSG00000000738	7416	12250	19532	17509	6011
Rpl13	ENSMUSG00000000740	1497057	5692175	5328527	6806444	1213712
Chmp1a	ENSMUSG00000000743	12643	21178	117171	63847	58555
Rpa1	ENSMUSG00000000751	118097	150977	343620	435482	123654
Tubgcp3	ENSMUSG00000000759	10288	7730	22320	24599	9365
Polr3d	ENSMUSG00000000776	3143	17690	5093	36408	5991
Ddx3x	ENSMUSG00000000787	29812	206654	374124	693142	82686
Usp32	ENSMUSG00000000804	166	796	599	1222	108
Txnrd3	ENSMUSG00000000811	1599	5855	570	7518	356
Znf512b	ENSMUSG00000000823	6491	8482	5383	11173	11420
Dnajc5	ENSMUSG00000000826	47754	92723	65201	74406	56265
Tpd52l2	ENSMUSG00000000827	21455	84270	263639	426903	41512
Fmr1	ENSMUSG00000000838	14405	46732	107016	54480	20641
Dlg3	ENSMUSG00000000881	459	2031	51	414	375
Gnb1l	ENSMUSG00000000884	2014	5221	1970	11661	1724
Smarcb1	ENSMUSG00000000902	72524	162114	222365	365920	106121
Hip1r	ENSMUSG00000000915	1504	4956	17241	30972	12689
Nsun5	ENSMUSG00000000916	7201	43551	19462	68929	9694
Oxa1l	ENSMUSG00000000959	2784	386	16848	24592	4130
Heatr6	ENSMUSG00000000976	1358	2887	11651	4811	1835
Ilf2	ENSMUSG00000001016	119492	223189	223442	403128	139288
Chtop	ENSMUSG00000001017	317170	472728	413905	709222	178037
Snapin	ENSMUSG00000001018	326	3180	16615	3426	697
S100a4	ENSMUSG00000001020	695	6321	319929	17919	5207
Icam2	ENSMUSG00000001029	6268	6952	4292	42974	7038
Mapk7	ENSMUSG00000001034	1406	3663	7579	5625	3447
Sec24b	ENSMUSG00000001052	7676	20105	34338	34304	15194
Nhp2	ENSMUSG00000001056	202847	406996	377298	1505807	338167
Mfsd10	ENSMUSG00000001082	2051	3648	14656	5342	2865
Luzp1	ENSMUSG00000001089	38	939	3423	3191	137
Kctd10	ENSMUSG00000001098	5791	12928	17599	45010	5953
Poldip2	ENSMUSG00000001100	10293	53893	63519	133913	11692
Col6a1	ENSMUSG00000001119	5257	1541	1060	3309	256
Pcbp3	ENSMUSG00000001120	199	128	1315	260	1018
Lgals9	ENSMUSG00000001123	280060	164899	53313	145342	297307
Araf	ENSMUSG00000001127	14685	25549	44498	38776	14144
Uxt	ENSMUSG00000001134	1135	12526	8790	20627	1672
Cnnm3	ENSMUSG00000001138	1680	7286	3324	14440	1621
Lman2l	ENSMUSG00000001143	544	979	1559	4082	857
Mcm3ap	ENSMUSG00000001150	6791	10292	13690	24905	8540
Pcnt	ENSMUSG00000001151	3237	7101	26251	16426	21614
Gmcl1	ENSMUSG00000001157	626	966	419	193	461
Snrnp27	ENSMUSG00000001158	16276	23436	79937	73255	18509
Calm1	ENSMUSG00000001175	1910	357506	4227128	1538196	189173
Agpat3	ENSMUSG00000001211	15818	7013	136574	41388	12869
Uhrf1	ENSMUSG00000001228	1789	86256	345126	735607	786
Dpp9	ENSMUSG00000001229	12088	15521	28795	25718	14932
Gramd1a	ENSMUSG00000001248	3184	4662	3485	14190	5944
Ckb	ENSMUSG00000001270	185096	255070	3024691	110220	50463
Sp1	ENSMUSG00000001280	6106	33433	18044	47750	19787
Itgb7	ENSMUSG00000001281	7192	8009	24981	6930	37851
Myg1	ENSMUSG00000001285	25412	123033	290993	486568	105529
Pfdn5	ENSMUSG00000001289	931	117	10919	15508	2361
Rrp15	ENSMUSG00000001305	518	10239	22803	53984	7876
Acp5	ENSMUSG00000001348	10809	2069	148516	38521	75185
Fbxo9	ENSMUSG00000001366	502	658	1192	2804	31
Ccdc132	ENSMUSG00000001376	2566	3573	7058	29866	4305
Hars	ENSMUSG00000001380	119221	236736	386635	578043	110488
Zmat2	ENSMUSG00000001383	57078	97459	95328	145757	61156
Smg5	ENSMUSG00000001415	2975	5486	11958	19631	1244
Cct3	ENSMUSG00000001416	315382	1041774	1440605	2411787	435820
Mef2d	ENSMUSG00000001419	6165	12965	4359	14629	6455
Snd1	ENSMUSG00000001424	150689	657477	1119974	1362817	215992
Slc19a1	ENSMUSG00000001436	434	7849	5841	26454	58
Kpnb1	ENSMUSG00000001440	193421	717850	1285910	2285369	304920
Npepps	ENSMUSG00000001441	49233	81265	118487	110130	63985
Mrpl10	ENSMUSG00000001445	7179	13546	23554	6198	8692
Tcf25	ENSMUSG00000001472	721	15416	20157	61409	2489
Def8	ENSMUSG00000001482	483	186	598	9621	195
Col1a1	ENSMUSG00000001506	1224	1477	692	3572	362
Itfg2	ENSMUSG00000001518	1773	2320	12378	3923	1888
Tulp3	ENSMUSG00000001521	299	1225	8155	2458	447
Gtf2h4	ENSMUSG00000001524	3230	1012	11085	32247	1994
Tubb5	ENSMUSG00000001525	195468	660425	2376758	1732554	403997
Jup	ENSMUSG00000001552	880	1739	538	1506	4597
Nom1	ENSMUSG00000001569	4950	11312	12139	52447	9761
Ergic1	ENSMUSG00000001576	5923	23186	115268	32246	5558
Acap1	ENSMUSG00000001588	80681	46647	161684	93525	80711
Ifrd1	ENSMUSG00000001627	6784	15626	11041	14679	8376
Stk38l	ENSMUSG00000001630	2861	10559	16416	49956	3802
Brpf1	ENSMUSG00000001632	5024	5829	7261	7785	5151
Akr1b3	ENSMUSG00000001642	1321834	1111117	841619	2194951	1452937
Ddt	ENSMUSG00000001666	12517	293191	751680	1029387	95430
Ddx18	ENSMUSG00000001674	75296	538405	321150	945622	109679
Gramd3	ENSMUSG00000001700	7232	6018	8206	4274	10983
Eef1e1	ENSMUSG00000001707	48927	132782	389193	488556	26695
Akt1	ENSMUSG00000001729	6348	30110	67583	52598	13555
Il16	ENSMUSG00000001741	413542	346707	275442	233432	295737
Tcirg1	ENSMUSG00000001750	1769	5283	17262	61103	2068
Naglu	ENSMUSG00000001751	5238	1412	19770	6872	8382
Coasy	ENSMUSG00000001755	5098	4076	20147	8972	7679
Crnkl1	ENSMUSG00000001767	93400	76745	85866	160695	50223
Chordc1	ENSMUSG00000001774	144548	489371	483253	640279	191847
Rtcb	ENSMUSG00000001783	145231	261788	464599	653195	196874
Pwp1	ENSMUSG00000001785	21971	110616	49491	273395	25888
Fbxo7	ENSMUSG00000001786	8464	10068	10250	10194	4265
Clpb	ENSMUSG00000001829	2811	33268	21881	80008	4445
Zdhhc4	ENSMUSG00000001844	105	394	272	317	202
Rac1	ENSMUSG00000001847	63943	7265	185630	82841	30408
Nup214	ENSMUSG00000001855	14708	39955	58955	95173	40932
Ugp2	ENSMUSG00000001891	43167	42294	143242	80133	45259
Trmt1	ENSMUSG00000001909	11816	58890	39656	103259	13754
Nacc1	ENSMUSG00000001910	5602	29777	22351	36596	9635
Slc1a5	ENSMUSG00000001918	5063	48552	67711	428301	5189
Uba1	ENSMUSG00000001924	464811	1254695	1843783	1546849	752811
Siae	ENSMUSG00000001942	53489	19485	29731	8528	5989
Fam50a	ENSMUSG00000001962	15267	8971	32749	59844	17557
Emd	ENSMUSG00000001964	20278	200485	168001	384360	75229
Taco1	ENSMUSG00000001983	7338	34624	64136	79953	26813
Ap4e1	ENSMUSG00000001998	476	3021	7853	4484	1417
Blvra	ENSMUSG00000001999	181401	163837	278759	258701	135199
Idh3g	ENSMUSG00000002010	53178	29488	146144	244115	55596
Ssr4	ENSMUSG00000002014	74047	122590	244804	182473	106717
Bcap31	ENSMUSG00000002015	136034	282959	403822	219369	453760
Fam98a	ENSMUSG00000002017	5475	41673	61791	109072	12506
Kmt2a	ENSMUSG00000002028	857	2254	3693	2987	1760
Cd3g	ENSMUSG00000002033	95132	15679	240855	65576	63605
Sdf2	ENSMUSG00000002064	4277	19300	21879	58839	44996
Ccne1	ENSMUSG00000002068	43	817	5652	25217	1568
Psmc3	ENSMUSG00000002102	38865	327711	384904	557374	81608
Celf2	ENSMUSG00000002107	65338	102475	185952	262859	97579
Ddb2	ENSMUSG00000002109	12074	8574	21231	18524	10512
Sf3a1	ENSMUSG00000002129	89545	236212	284902	530243	182948
Stat6	ENSMUSG00000002147	40854	143806	49440	83705	48445
Vrk3	ENSMUSG00000002205	72702	40664	39198	49752	95845
Smg9	ENSMUSG00000002210	5271	14589	20058	37939	8543
Paxip1	ENSMUSG00000002221	1883	1795	9380	12270	3246
Rmnd5a	ENSMUSG00000002222	1801	19579	23332	11899	8160
Mov10	ENSMUSG00000002227	18985	13917	179255	16421	23988
Def6	ENSMUSG00000002257	112198	108296	288025	145628	126135
Lmf1	ENSMUSG00000002279	1554	2894	1748	6174	2382
Narfl	ENSMUSG00000002280	4005	16874	13428	43950	8902
Daxx	ENSMUSG00000002307	9256	15526	11245	42002	11531
Ipo4	ENSMUSG00000002319	7184	62923	43703	166072	7925
Tm9sf1	ENSMUSG00000002320	3868	11462	38893	18268	4800
Irf9	ENSMUSG00000002325	7190	19224	28459	17150	14720
Gmpr2	ENSMUSG00000002326	17854	23769	55335	53231	50147
Mdp1	ENSMUSG00000002329	6401	233271	141552	328311	123535
Dhrs1	ENSMUSG00000002332	13105	58722	168893	32278	53343
Armc6	ENSMUSG00000002343	11037	59428	62339	231508	27946
Snx9	ENSMUSG00000002365	1034	15367	75264	37736	765
Ranbp3	ENSMUSG00000002372	57565	109747	179983	209769	111186
Ndufa11	ENSMUSG00000002379	29909	67168	19383	198872	59708
Use1	ENSMUSG00000002395	3493	21096	14170	25797	2152
Braf	ENSMUSG00000002413	1673	2652	3408	4391	511
Hltf	ENSMUSG00000002428	7266	10264	9714	18277	11550
Prpf6	ENSMUSG00000002455	53279	146722	182151	287436	119002
Rgs19	ENSMUSG00000002458	16705	1276	19940	4678	17769
Snrpd1	ENSMUSG00000002477	606420	1769599	2120133	1612098	980406
Tiam1	ENSMUSG00000002489	111	511	3963	1167	132
Tsc2	ENSMUSG00000002496	1945	2331	4690	5321	2495
Puf60	ENSMUSG00000002524	46875	146495	179292	394334	85888
Golga2	ENSMUSG00000002546	4396	26457	55123	31395	8189
Uck1	ENSMUSG00000002550	19760	15141	38001	75500	14023
Tgfb1	ENSMUSG00000002603	2093	16737	22267	65722	1353
Ccdc97	ENSMUSG00000002608	469	26157	24686	36595	4772
Akap8l	ENSMUSG00000002625	15762	32720	11134	29305	22945
Pdcd2l	ENSMUSG00000002635	196	20644	6913	37853	805
Gtf2f1	ENSMUSG00000002658	33759	122833	176946	259760	63686
Clpp	ENSMUSG00000002660	2277	69297	52015	279812	27083
Dennd1c	ENSMUSG00000002668	6990	2959	9869	2733	9496
Med6	ENSMUSG00000002679	8208	4358	16987	23157	3332
Lcp2	ENSMUSG00000002699	94033	92632	362545	223525	82486
Cse1l	ENSMUSG00000002718	75934	123981	237323	379897	89999
Naa20	ENSMUSG00000002728	2392	4765	82785	148410	8758
Ykt6	ENSMUSG00000002741	55590	147653	202055	150676	85439
Baz1b	ENSMUSG00000002748	77268	138471	231426	262269	88710
Pex6	ENSMUSG00000002763	1183	3554	12731	11214	877
Mrpl2	ENSMUSG00000002767	12745	32518	63434	79743	15689
Kdelr1	ENSMUSG00000002778	2725	1505	9826	6896	4760
Tmem143	ENSMUSG00000002781	3343	357	1421	1688	473
Ggct	ENSMUSG00000002797	104509	49401	110976	49294	116749
Nudt14	ENSMUSG00000002804	9899	7407	24967	17014	23616
Flii	ENSMUSG00000002812	26546	69109	160751	167110	41370
Top3a	ENSMUSG00000002814	740	1132	5047	7567	886
Qtrt1	ENSMUSG00000002825	23774	45410	41401	114775	24774
Hdgfrp2	ENSMUSG00000002833	15956	86966	94525	30575	66344
Adprh	ENSMUSG00000002844	14800	85655	363892	156996	27029
Timmdc1	ENSMUSG00000002846	1150	22763	19101	29391	8118
Mcm2	ENSMUSG00000002870	44015	321474	699648	779738	87031
Nab1	ENSMUSG00000002881	6436	20909	12839	37566	12664
Cd97	ENSMUSG00000002885	4428	5589	19442	22006	16084
Il17ra	ENSMUSG00000002897	306	416	1061	2148	316
Map2k7	ENSMUSG00000002948	1277	3494	7892	17893	1846
Timm44	ENSMUSG00000002949	57588	138351	196773	305367	72278
Ap2a2	ENSMUSG00000002957	31847	30336	75868	86187	19511
Pnkp	ENSMUSG00000002963	263791	97368	92319	150645	86001
Med25	ENSMUSG00000002968	2431	1865	22336	4796	11016
Clptm1	ENSMUSG00000002981	4351	44395	37609	68999	8116
Relb	ENSMUSG00000002983	2166	15862	14514	24458	7097
Tomm40	ENSMUSG00000002984	24506	89660	114917	482918	34144
Prkar2b	ENSMUSG00000002997	356	1296	4632	603	2241
Cdkn1b	ENSMUSG00000003031	3908	4331	13618	2316	37577
Ap1m1	ENSMUSG00000003033	99141	147897	231886	305827	101292
Rab8a	ENSMUSG00000003037	131068	231584	359769	515260	145739
Hmgn2	ENSMUSG00000003038	3057863	6132163	2124576	349782	3760146
Fam32a	ENSMUSG00000003039	16233	24704	11950	11374	41090
Stk11	ENSMUSG00000003068	1413	2751	13825	12634	2457
Atp5d	ENSMUSG00000003072	22279	139033	162825	286076	13748
Ppp5c	ENSMUSG00000003099	36277	110699	236157	298468	62290
Cdk12	ENSMUSG00000003119	1982	3939	8361	5275	4960
Lipe	ENSMUSG00000003123	459	1006	17761	2189	1750
Cnot11	ENSMUSG00000003135	2846	20316	13212	22790	8790
Slc2a3	ENSMUSG00000003153	1548	56953	59439	25515	5075
Foxj2	ENSMUSG00000003154	113	897	1143	388	491
Sri	ENSMUSG00000003161	10003	82323	179633	179176	155131
Mical3	ENSMUSG00000003178	659	201	7905	3270	73
Irf3	ENSMUSG00000003184	6078	32758	38748	90211	20779
Mpnd	ENSMUSG00000003199	299	1151	457	3700	310
Sh3gl1	ENSMUSG00000003200	94106	143344	138116	176871	108733
Ccdc94	ENSMUSG00000003208	7485	23995	20275	42453	16134
Ranbp2	ENSMUSG00000003226	34927	102583	127002	196347	64331
Abcf3	ENSMUSG00000003234	20279	43999	35494	118100	20888
Eif2b5	ENSMUSG00000003235	5592	41527	34639	51458	14086
Cyth2	ENSMUSG00000003269	4428	7275	41011	48108	3289
Mrpl4	ENSMUSG00000003299	15476	23101	59069	120571	11820
Keap1	ENSMUSG00000003308	3892	10890	57936	76907	3089
Glg1	ENSMUSG00000003316	26851	49653	174163	144637	47277
Btbd2	ENSMUSG00000003344	1386	739	2885	1137	1949
Csnk1g2	ENSMUSG00000003345	581	580	2785	1112	255
Abhd17a	ENSMUSG00000003346	4032	3408	5240	7871	1758
Mob3a	ENSMUSG00000003348	55559	32031	286363	134811	44750
Ddx23	ENSMUSG00000003360	86077	136486	136275	214968	107219
Pld3	ENSMUSG00000003363	18839	18270	47020	74797	29522
Rabac1	ENSMUSG00000003380	1820	45030	56671	5542	2677
Etv3	ENSMUSG00000003382	963	3765	1354	1461	763
Prkcsh	ENSMUSG00000003402	37984	347411	481511	331176	168648
Nosip	ENSMUSG00000003421	28552	82401	156614	300344	47830
Pih1d1	ENSMUSG00000003423	1664	19813	57461	132125	8936
Rps11	ENSMUSG00000003429	1119345	2815507	3689673	8954792	1212725
Paf1	ENSMUSG00000003437	33702	112374	64266	210981	54488
Timm50	ENSMUSG00000003438	57240	204659	217153	298011	59727
Ncstn	ENSMUSG00000003458	6520	11587	48912	66661	5629
Impdh1	ENSMUSG00000003500	30788	97724	75779	368198	42111
Prodh	ENSMUSG00000003526	872	2314	433	13068	268
Dgcr14	ENSMUSG00000003527	2623	4948	13532	27451	10465
Slc25a1	ENSMUSG00000003528	5278	8624	87004	34483	14221
Klc4	ENSMUSG00000003546	6942	8176	12570	9860	8563
Ercc1	ENSMUSG00000003549	5819	1490	14573	14203	6553
As3mt	ENSMUSG00000003559	3902	5960	1354	35800	23264
Crtc1	ENSMUSG00000003575	225	4657	406	4085	2377
Aven	ENSMUSG00000003604	1696	22443	24325	102755	9458
Crot	ENSMUSG00000003623	11005	14942	51679	14037	29156
Rps6ka1	ENSMUSG00000003644	38386	58896	89498	122778	63360
Snrnp200	ENSMUSG00000003660	136421	234505	321375	639708	159849
Ciao1	ENSMUSG00000003662	8777	37398	103751	95279	20494
Taf6l	ENSMUSG00000003680	4503	12306	10885	24662	3165
Kpna6	ENSMUSG00000003731	6851	36993	31963	117260	11600
Man1a	ENSMUSG00000003746	4486	12594	67130	55093	3671
Itpkc	ENSMUSG00000003752	670	1239	597	4778	773
Adck4	ENSMUSG00000003762	2955	3304	6843	5436	984
Brd8	ENSMUSG00000003778	2654	12196	14306	20847	12941
Kif20a	ENSMUSG00000003779	72	3475	67421	58764	827
Farsa	ENSMUSG00000003808	73552	158777	234919	388856	89714
Gcdh	ENSMUSG00000003809	7063	5229	6135	4735	8051
Mast2	ENSMUSG00000003810	133	11003	97545	37018	91717
Rad23a	ENSMUSG00000003813	4148	23681	83664	51601	47659
Calr	ENSMUSG00000003814	464431	3523627	5687789	6598484	1480589
Nfat5	ENSMUSG00000003847	180	6063	1561	26269	732
Nob1	ENSMUSG00000003848	8481	54532	59260	178435	13539
Gys1	ENSMUSG00000003865	1792	14560	10461	16067	1029
Ruvbl2	ENSMUSG00000003868	185293	518446	362218	1163157	249024
Bax	ENSMUSG00000003873	239149	508085	979693	789725	253638
Tfam	ENSMUSG00000003923	173823	97824	68682	183190	117976
Fam162a	ENSMUSG00000003955	24567	184856	315381	165734	29461
Rpl8	ENSMUSG00000003970	1022349	5698584	4708262	11499727	1477930
Stat3	ENSMUSG00000004040	76058	284926	248447	444443	88033
Stat5a	ENSMUSG00000004043	164549	386834	287092	698263	109185
Map3k11	ENSMUSG00000004054	305	870	1340	1565	334
Akt2	ENSMUSG00000004056	14527	55147	107950	111821	28877
Dnaja3	ENSMUSG00000004069	39285	110121	74861	188357	33261
Hmox2	ENSMUSG00000004070	54058	128739	283958	510054	129862
Cwc15	ENSMUSG00000004096	28542	161405	112604	120501	103630
Dnmt1	ENSMUSG00000004099	37047	114179	424464	345276	59734
Ppan	ENSMUSG00000004100	17270	206491	63901	291175	36877
Trmt10a	ENSMUSG00000004127	1108	2125	1172	10147	639
Psap	ENSMUSG00000004207	640	3869	40922	8110	2791
Ikbkg	ENSMUSG00000004221	3239	47919	94672	112379	32847
Wars2	ENSMUSG00000004233	1733	810	2096	2070	2694
Phb2	ENSMUSG00000004264	982631	1849959	1587136	3880134	601948
Ptpn6	ENSMUSG00000004266	573358	674058	624063	1240907	1143758
Emg1	ENSMUSG00000004268	66457	258300	192326	532962	91237
Lpcat3	ENSMUSG00000004270	6684	8674	12652	10729	10351
Atp6v1f	ENSMUSG00000004285	711	46791	137395	279600	4890
Clcn5	ENSMUSG00000004317	68	1001	9254	3968	148
Clcn3	ENSMUSG00000004319	469	3874	8906	7696	349
Utp20	ENSMUSG00000004356	5784	34988	20941	93979	8483
Cul3	ENSMUSG00000004364	56191	97127	184613	142959	64977
Ddx56	ENSMUSG00000004393	14945	129754	56598	192013	21838
Tmed4	ENSMUSG00000004394	41086	40069	201252	41636	9686
Bid	ENSMUSG00000004446	485	60248	61928	303709	56894
Ppp1cc	ENSMUSG00000004455	60529	72792	199670	162512	66715
Dnajb11	ENSMUSG00000004460	109620	238664	895350	705830	112216
Coro1c	ENSMUSG00000004530	74518	109828	315559	103810	162724
Tax1bp1	ENSMUSG00000004535	8471	32388	121937	66019	16698
Ndrg2	ENSMUSG00000004558	701	13682	12027	16293	534
Mettl17	ENSMUSG00000004561	5461	7737	2941	21876	3161
Pnpla6	ENSMUSG00000004565	268	986	1981	4087	113
Mcoln1	ENSMUSG00000004567	508	466	2676	2665	165
Arhgef18	ENSMUSG00000004568	21270	8838	7879	9244	27269
Pkn2	ENSMUSG00000004591	3662	11394	12959	23088	1929
Etfb	ENSMUSG00000004610	132106	462046	961586	575913	391206
Stxbp2	ENSMUSG00000004626	42099	54586	166855	87763	42175
Wwox	ENSMUSG00000004637	472	611	820	5151	432
Slbp	ENSMUSG00000004642	528	18218	34901	114010	2228
Cnn2	ENSMUSG00000004665	30983	121552	129261	140653	184411
Polr2e	ENSMUSG00000004667	152891	345901	354096	553714	144226
Myo9b	ENSMUSG00000004677	9247	10579	46343	26265	13667
Ly9	ENSMUSG00000004707	100378	42789	27951	81652	19158
Rab11a	ENSMUSG00000004771	471084	1105568	1224809	814724	615542
Eif2b2	ENSMUSG00000004788	19048	8487	45006	156926	21360
Dlst	ENSMUSG00000004789	110822	189432	158081	281320	168968
Dgkq	ENSMUSG00000004815	404	141	5619	733	315
Grap	ENSMUSG00000004837	35927	79860	82043	146846	45050
Chmp2b	ENSMUSG00000004843	173	25373	16898	29055	95
Ap1s1	ENSMUSG00000004849	32338	65265	152495	168695	30888
Srpk1	ENSMUSG00000004865	19542	102878	141454	277108	68188
Lbr	ENSMUSG00000004880	603863	629318	858400	792077	796582
Prcc	ENSMUSG00000004895	7221	7915	17439	41879	22399
Hdgf	ENSMUSG00000004897	277062	1436870	1164821	1630374	959593
Thop1	ENSMUSG00000004929	71633	138447	138493	377230	97902
Pias4	ENSMUSG00000004934	3400	4898	15915	8777	5585
Map2k1	ENSMUSG00000004936	20691	51261	129936	100330	26471
Sgta	ENSMUSG00000004937	685	62477	89950	125359	28788
Dtx2	ENSMUSG00000004947	728	2162	2122	3652	1540
Hnrnpa2b1	ENSMUSG00000004980	3046988	6428395	4346770	4712470	3198440
Ccdc130	ENSMUSG00000004994	2212	2446	6373	7182	3764
Mri1	ENSMUSG00000004996	107454	225061	449080	912123	260966
Prkacb	ENSMUSG00000005034	72560	42398	211707	81009	162494
Sgsh	ENSMUSG00000005043	6479	938	20035	22522	21249
Pex5	ENSMUSG00000005069	311	18693	9853	23272	4830
Cd44	ENSMUSG00000005087	6163	106632	42443	305474	3624
Eif2ak4	ENSMUSG00000005102	209	1227	669	2099	205
Wdr1	ENSMUSG00000005103	749215	1030612	1886961	1054966	887267
Ndrg1	ENSMUSG00000005125	1683	138440	23024	166874	4629
Man2b1	ENSMUSG00000005142	3376	5756	61215	10040	3930
Wdr83	ENSMUSG00000005150	5348	4344	5864	12056	5983
Prdx2	ENSMUSG00000005161	143815	633432	1002660	590368	663801
Polr2a	ENSMUSG00000005198	47611	74779	107233	156396	70636
Senp3	ENSMUSG00000005204	10083	50929	58633	117043	9274
Ufd1l	ENSMUSG00000005262	31934	36114	92033	169543	60053
Letm1	ENSMUSG00000005299	98615	75619	146883	294251	123428
Ubqln1	ENSMUSG00000005312	1337	10709	13142	127048	14095
Txn2	ENSMUSG00000005354	1687	13185	70665	526429	30011
Crbn	ENSMUSG00000005362	4971	7898	7097	14478	6610
Msh6	ENSMUSG00000005370	33288	66292	118694	138820	38813
Fbxo11	ENSMUSG00000005371	703	3613	4113	4716	1186
Tbl2	ENSMUSG00000005374	7321	35690	56233	73668	7785
Wbscr22	ENSMUSG00000005378	48464	88132	93435	147350	57080
Mcm5	ENSMUSG00000005410	61129	435446	1547596	1289997	109779
Mprip	ENSMUSG00000005417	255	437	1364	1208	279
Cic	ENSMUSG00000005442	698	2549	3727	3625	1439
Pafah1b3	ENSMUSG00000005447	491	53848	84788	59352	52568
Il27ra	ENSMUSG00000005465	860	37201	5087	7838	2640
Prkaca	ENSMUSG00000005469	28483	42141	82374	46918	34515
Asf1b	ENSMUSG00000005470	2339	11171	172141	116040	5803
Ddx39	ENSMUSG00000005481	135614	664985	540593	1366479	249490
Dnajb1	ENSMUSG00000005483	156592	233320	310248	221417	259011
Usp40	ENSMUSG00000005501	231	527	582	3556	296
Kbtbd4	ENSMUSG00000005505	2923	2012	2514	11559	2687
Celf1	ENSMUSG00000005506	10557	46238	25036	47560	26573
Ndufs3	ENSMUSG00000005510	163295	107756	131962	247861	89174
Por	ENSMUSG00000005514	50304	73736	136494	197674	59292
Igf1r	ENSMUSG00000005533	10	1480	21	2687	315
Insr	ENSMUSG00000005534	368	856	1328	1441	11
Trim28	ENSMUSG00000005566	333105	763212	670887	1437482	572723
Ube2m	ENSMUSG00000005575	100173	296762	766250	615739	189552
Ctr9	ENSMUSG00000005609	20425	38038	34013	114451	20329
Eif4g2	ENSMUSG00000005610	30580	121252	226131	295172	26329
Pcyt1a	ENSMUSG00000005615	2543	14343	45534	24331	7958
Zfp592	ENSMUSG00000005621	4343	7987	10662	8431	6701
Psmd4	ENSMUSG00000005625	28265	158562	201325	406060	90454
Snx6	ENSMUSG00000005656	80168	119392	216436	191991	82005
Mthfd2	ENSMUSG00000005667	10448	340003	261508	911773	12809
Tomm40l	ENSMUSG00000005674	1133	362	393	2328	2510
Pan2	ENSMUSG00000005682	3214	4003	4536	10821	4679
Cs	ENSMUSG00000005683	260792	573208	1036295	426507	308689
Ampd3	ENSMUSG00000005686	8470	692	218	1209	2401
Bcas2	ENSMUSG00000005687	4168	58544	176801	418240	83542
Sh2d1a	ENSMUSG00000005696	20672	23066	45897	79565	38623
Ctcf	ENSMUSG00000005698	47104	68775	101851	144870	52546
Tfap4	ENSMUSG00000005718	771	24731	3961	72092	7063
Ranbp1	ENSMUSG00000005732	163963	687087	2488363	3320975	512765
Cd247	ENSMUSG00000005763	317801	290997	946348	216197	298229
Rfx5	ENSMUSG00000005774	1701	1830	4855	1533	4321
Psmb4	ENSMUSG00000005779	220376	343152	611722	569770	298792
Sqrdl	ENSMUSG00000005803	22830	22737	9046	10607	13019
Metap1	ENSMUSG00000005813	23764	139527	171204	282476	37438
Rsl1d1	ENSMUSG00000005846	127132	733702	586466	1613440	181515
