Associated Gene Name	Ensembl Gene ID	CD4 naive	CD4 tcr	CD4 Th1	CD8 tcr	CD8 naive
Strap	ENSMUSG00000030224	75581	346078	308497	673934	117300
Dera	ENSMUSG00000030225	11628	27501	59604	43993	13216
Plekha5	ENSMUSG00000030231	679	1077	4556	3067	1409
Aebp2	ENSMUSG00000030232	726	18573	21946	33081	485
Recql	ENSMUSG00000030243	8921	9840	19966	40177	19455
Ldhb	ENSMUSG00000030246	283159	330050	78186	167535	130048
Rad18	ENSMUSG00000030254	1689	3340	15719	15725	1558
Lrmp	ENSMUSG00000030263	8563	53728	56040	98318	32377
Thumpd3	ENSMUSG00000030264	36909	86054	143038	230280	47000
Kras	ENSMUSG00000030265	28493	56452	181743	236041	71529
Mtmr14	ENSMUSG00000030269	1171	1497	4657	6508	1145
Ogg1	ENSMUSG00000030271	19548	9644	21640	12816	19238
Etnk1	ENSMUSG00000030275	2617	35052	84330	36345	13410
C2cd5	ENSMUSG00000030279	2273	2134	6281	3971	2250
Cmas	ENSMUSG00000030282	178965	92240	214927	209606	184172
St8sia1	ENSMUSG00000030283	2100	430	17953	1527	54
Emc3	ENSMUSG00000030286	17633	33324	89848	119760	23822
Itpr2	ENSMUSG00000030287	9712	6749	27464	14168	18863
Sec13	ENSMUSG00000030298	105948	560537	521104	698739	259167
Atg7	ENSMUSG00000030314	6354	9073	19498	23347	8150
Tamm41	ENSMUSG00000030316	16912	30571	31736	53530	30400
Cand2	ENSMUSG00000030319	2557	1832	13120	9816	509
Necap1	ENSMUSG00000030327	1013	7838	6734	11373	2164
Ing4	ENSMUSG00000030330	2751	4775	7014	3650	4904
Mrpl51	ENSMUSG00000030335	108	2822	13530	2059	3687
Cd27	ENSMUSG00000030336	406	2274	2977	36093	2612
D6Wsu163e	ENSMUSG00000030347	210	1560	3186	3121	1350
Fkbp4	ENSMUSG00000030357	215515	1386758	829514	1732316	336795
Strn4	ENSMUSG00000030374	5429	12185	15907	43517	12417
Ercc2	ENSMUSG00000030400	12533	18337	19048	37402	11223
Vasp	ENSMUSG00000030403	295659	278979	1081683	678708	475437
Qpctl	ENSMUSG00000030407	757	1093	12065	3290	298
Pdcd5	ENSMUSG00000030417	11074	62025	213777	498804	118100
Uri1	ENSMUSG00000030421	4154	18095	21237	44047	10401
Pop4	ENSMUSG00000030423	6226	1879	7231	10920	2641
Rpl28	ENSMUSG00000030432	277951	702630	2607472	1957128	389070
U2af2	ENSMUSG00000030435	197317	330238	384743	476865	282883
Cyfip1	ENSMUSG00000030447	344	2291	7459	911	40
Herc2	ENSMUSG00000030451	164	1894	2429	3187	202
Zfp719	ENSMUSG00000030469	748	97	162	166	13830
Zdhhc13	ENSMUSG00000030471	1733	6279	6855	19098	2973
Prmt3	ENSMUSG00000030505	7987	13842	35764	92293	11134
Snrpa1	ENSMUSG00000030512	428372	616309	950105	2135573	367449
Tarsl2	ENSMUSG00000030515	1353	873	5772	4478	1302
Mphosph10	ENSMUSG00000030521	13821	76421	68569	270415	42901
Crtc3	ENSMUSG00000030527	1191	6234	5616	12567	7965
Blm	ENSMUSG00000030528	122	3037	11053	28137	217
Furin	ENSMUSG00000030530	747	2529	104986	20118	171
Unc45a	ENSMUSG00000030533	14374	27600	50851	134868	15311
Vps33b	ENSMUSG00000030534	14081	21424	27389	32184	15903
Iqgap1	ENSMUSG00000030536	184674	279313	791075	567510	338868
Sema4b	ENSMUSG00000030539	2030	1556	9165	2442	3362
Idh2	ENSMUSG00000030541	287662	203755	130442	219406	267232
Mef2a	ENSMUSG00000030557	179	1681	1236	2176	318
Ctsc	ENSMUSG00000030560	5896	14306	54011	163006	45010
Cd22	ENSMUSG00000030577	293	8884	4201	800	187
Sipa1l3	ENSMUSG00000030583	136	454	44	477	42
Yif1b	ENSMUSG00000030588	2197	8491	25134	12730	3844
Fam98c	ENSMUSG00000030590	6483	6108	21233	16752	6678
Psmd8	ENSMUSG00000030591	59657	274523	440620	562495	82832
Nfkbib	ENSMUSG00000030595	660	16182	18174	64719	8243
